x,y
-180,70232.9348560991
-179.427042204869,70233.808807841
-178.854084409738,70236.4307691394
-178.281126614608,70240.8010582183
-177.708168819477,70246.9202054694
-177.135211024346,70254.7889534807
-176.562253229215,70264.4082570755
-175.989295434084,70275.779283363
-175.416337638954,70288.903411799
-174.843379843823,70303.7822342591
-174.270422048692,70320.4175551204
-173.697464253561,70338.8113913556
-173.12450645843,70358.9659726366
-172.551548663299,70380.8837414476
-171.978590868169,70404.5673532096
-171.405633073038,70430.0196764126
-170.832675277907,70457.2437927584
-170.259717482776,70486.2429973119
-169.686759687645,70517.0207986606
-169.113801892515,70549.5809190827
-168.540844097384,70583.9272947229
-167.967886302253,70620.0640757755
-167.394928507122,70657.9956266741
-166.821970711991,70697.7265262885
-166.249012916861,70739.2615681264
-165.67605512173,70782.605760541
-165.103097326599,70827.7643269437
-164.530139531468,70874.7427060202
-163.957181736337,70923.5465519504
-163.384223941206,70974.1817346318
-162.811266146076,71026.6543399038
-162.238308350945,71080.9706697746
-161.665350555814,71137.1372426482
-161.092392760683,71195.1607935514
-160.519434965552,71255.0482743597
-159.946477170422,71316.806854022
-159.373519375291,71380.4439187817
-158.80056158016,71445.9670723953
-158.227603785029,71513.3841363451
-157.654645989898,71582.7031500475
-157.081688194768,71653.9323710542
-156.508730399637,71727.0802752455
-155.935772604506,71802.1555570152
-155.362814809375,71879.1671294451
-154.789857014244,71958.1241244688
-154.216899219114,72039.0358930229
-153.643941423983,72121.9120051841
-153.070983628852,72206.7622502919
-152.498025833721,72293.5966370544
-151.92506803859,72382.4253936369
-151.352110243459,72473.2589677304
-150.779152448329,72566.1080265997
-150.206194653198,72660.9834571094
-149.633236858067,72757.8963657254
-149.060279062936,72856.8580784913
-148.487321267805,72957.8801409765
-147.914363472675,73060.9743181963
-147.341405677544,73166.1525945003
-146.768447882413,73273.4271734278
-146.195490087282,73382.8104775291
-145.622532292151,73494.3151481492
-145.049574497021,73607.9540451731
-144.47661670189,73723.7402467299
-143.903658906759,73841.6870488534
-143.330701111628,73961.8079650982
-142.757743316497,74084.1167261066
-142.184785521366,74208.6272791265
-141.611827726236,74335.353787476
-141.038869931105,74464.3106299532
-140.465912135974,74595.5124001875
-139.892954340843,74728.9739059319
-139.319996545712,74864.7101682901
-138.747038750582,75002.7364208792
-138.174080955451,75143.0681089228
-137.60112316032,75285.7208882717
-137.028165365189,75430.7106243505
-136.455207570058,75578.0533910251
-135.882249774928,75727.7654693895
-135.309291979797,75879.8633464674
-134.736334184666,76034.3637138253
-134.163376389535,76191.2834660948
-133.590418594404,76350.6396993986
-133.017460799273,76512.4497096781
-132.444503004143,76676.7309909181
-131.871545209012,76843.5012332643
-131.298587413881,77012.7783210304
-130.72562961875,77184.5803305909
-130.152671823619,77358.9255281537
-129.579714028489,77535.8323674104
-129.006756233358,77715.3194870582
-128.433798438227,77897.4057081897
-127.860840643096,78082.110031546
-127.287882847965,78269.4516346279
-126.714925052835,78459.44986866
-126.141967257704,78652.1242554045
-125.569009462573,78847.4944838175
-124.996051667442,79045.5804065431
-124.423093872311,79246.4020362413
-123.850136077181,79449.9795417427
-123.27717828205,79656.3332440245
-122.704220486919,79865.4836120033
-122.131262691788,80077.4512581379
-121.558304896657,80292.2569338357
-120.985347101526,80509.9215246582
-120.412389306396,80730.4660453174
-119.839431511265,80953.9116344583
-119.266473716134,81180.2795492204
-118.693515921003,81409.5911595716
-118.120558125872,81641.8679424072
-117.547600330742,81877.1314754086
-116.974642535611,82115.4034306528
-116.40168474048,82356.7055679671
-115.828726945349,82601.059728021
-115.255769150218,82848.4878251474
-114.682811355088,83099.0118398869
-114.109853559957,83352.6538112457
-113.536895764826,83609.4358286616
-112.963937969695,83869.3800236675
-112.390980174564,84132.5085612462
-111.818022379433,84398.8436308681
-111.245064584303,84668.4074372022
-110.672106789172,84941.2221904937
-110.099148994041,85217.3100965984
-109.52619119891,85496.6933466651
-108.953233403779,85779.394106459
-108.380275608648,86065.4345053141
-107.807317813518,86354.836624709
-107.234360018387,86647.6224864542
-106.661402223256,86943.8140404834
-106.088444428125,87243.4331522386
-105.515486632994,87546.5015896409
-104.942528837864,87853.041009635
-104.369571042733,88163.0729443008
-103.796613247602,88476.6187865211
-103.223655452471,88793.6997751955
-102.65069765734,89114.3369799918
-102.077739862209,89438.551285624
-101.504782067079,89766.3633756487
-100.931824271948,90097.7937157688
-100.358866476817,90432.8625366358
-99.7859086816861,90771.5898161404
-99.2129508865553,91113.9952611823
-98.6399930914245,91460.0982889083
-98.0670352962937,91809.9180074119
-97.4940775011628,92163.4731958817
-96.921119706032,92520.7822841914
-96.3481619109012,92881.8633319221
-95.7752041157704,93246.734006806
-95.2022463206395,93615.4115625859
-94.6292885255087,93987.9128162779
-94.0563307303779,94364.2541248319
-93.4833729352471,94744.4513611803
-92.9104151401162,95128.5198896668
-92.3374573449854,95516.4745408484
-91.7644995498546,95908.3295856621
-91.1915417547238,96304.0987089506
-90.6185839595929,96703.7949823391
-90.0456261644621,97107.4308364577
-89.4726683693313,97515.018032504
-88.8997105742005,97926.5676331394
-88.3267527790697,98342.0899727155
-87.7537949839388,98761.5946268258
-87.180837188808,99185.0903811799
-86.6078793936772,99612.585199796
-86.0349215985464,100044.086192511
-85.4619638034155,100479.599581804
-84.8890060082847,100919.13066894
-84.3160482131539,101362.683799419
-83.7430904180231,101810.262327752
-83.1701326228922,102261.868581547
-82.5971748277614,102717.503824917
-82.0242170326306,103177.168221217
-81.4512592374998,103640.860795108
-80.8783014423689,104108.57939396
-80.3053436472381,104580.320648591
-79.7323858521073,105056.079933374
-79.1594280569765,105535.85132569
-78.5864702618456,106019.627564769
-78.0135124667148,106507.400009914
-77.440554671584,106999.158598122
-76.8675968764532,107494.891801137
-76.2946390813224,107994.586581925
-75.7216812861915,108498.228350616
-75.1487234910607,109005.800919917
-74.5757656959299,109517.286460035
-74.0028079007991,110032.665453115
-73.4298501056682,110551.91664724
-72.8568923105374,111075.017010015
-72.2839345154066,111601.941681763
-71.7109767202758,112132.66392837
-71.1380189251449,112667.155093818
-70.5650611300141,113205.384552439
-69.9921033348833,113747.319660938
-69.4191455397525,114292.925710221
-68.8461877446216,114842.165877075
-68.2732299494908,115395.001175764
-67.70027215436,115951.39040956
-67.1273143592292,116511.290122301
-66.5543565640984,117074.654550007
-65.9813987689675,117641.435572617
-65.4084409738367,118211.582665925
-64.8354831787059,118785.042853762
-64.2625253835751,119361.760660503
-63.6895675884442,119941.678063967
-63.1166097933134,120524.734448787
-62.5436519981826,121110.866560328
-61.9706942030518,121700.008459223
-61.3977364079209,122292.091476632
-60.8247786127901,122887.044170288
-60.2518208176593,123484.792281436
-59.6788630225285,124085.258692748
-59.1059052273976,124688.363387314
-58.5329474322668,125294.023408812
-57.959989637136,125902.152822942
-57.3870318420052,126512.662680255
-56.8140740468743,127125.460980456
-56.2411162517435,127740.452638313
-55.6681584566127,128357.539451266
-55.0952006614819,128976.620068872
-54.522242866351,129597.589964176
-53.9492850712202,130220.341407159
-53.3763272760894,130844.763440351
-52.8033694809586,131470.741856762
-52.2304116858278,132098.159180235
-51.6574538906969,132726.894648358
-51.0844960955661,133356.824198056
-50.5115383004353,133987.820454003
-49.9385805053045,134619.752719963
-49.3656227101736,135252.486973218
-48.7926649150428,135885.885862181
-48.219707119912,136519.808707357
-47.6467493247812,137154.111505748
-47.0737915296503,137788.646938866
-46.5008337345195,138423.26438445
-45.9278759393887,139057.809932036
-45.3549181442579,139692.126402493
-44.781960349127,140326.05337165
-44.2090025539962,140959.427198141
-43.6360447588654,141592.081055569
-43.0630869637346,142223.844969119
-42.4901291686038,142854.545856719
-41.9171713734729,143484.007574862
-41.3442135783421,144112.050969177
-40.7712557832113,144738.493929859
-40.1982979880805,145363.151452034
-39.6253401929496,145985.835701151
-39.0523823978188,146606.356083471
-38.479424602688,147224.519321721
-37.9064668075572,147840.129535988
-37.3335090124263,148452.988329873
-36.7605512172955,149062.894881994
-36.1875934221647,149669.646042826
-35.6146356270339,150273.036436937
-35.041677831903,150872.858570617
-34.4687200367722,151468.902944906
-33.8957622416414,152060.958174018
-33.3228044465106,152648.811109138
-32.7498466513797,153232.246967554
-32.1768888562489,153811.049467097
-31.6039310611181,154385.000965811
-31.0309732659873,154953.882606805
-30.4580154708565,155517.474468179
-29.8850576757256,156075.555717955
-29.3120998805948,156627.90477387
-28.739142085464,157174.299467937
-28.1661842903332,157714.51721561
-27.5932264952023,158248.335189411
-27.0202687000715,158775.530496846
-26.4473109049407,159295.88036243
-25.8743531098099,159809.162313618
-25.301395314679,160315.15437043
-24.7284375195482,160813.63523855
-24.1554797244174,161304.384505646
-23.5825219292866,161787.182840671
-23.0095641341557,162261.81219586
-22.4366063390249,162728.056011152
-21.8636485438941,163185.699420741
-21.2906907487633,163634.529461444
-20.7177329536324,164074.33528257
-20.1447751585016,164504.908356963
-19.5718173633708,1377162.96248111
-18.99885956824,1380598.99974493
-18.4259017731092,1383952.85226486
-17.8529439779783,1387222.87412468
-17.2799861828475,1390407.44766544
-16.7070283877167,1393504.98524391
-16.1340705925859,1396513.93097933
-15.561112797455,1399432.76248528
-14.9881550023242,1402259.99258335
-14.4151972071934,1404994.17099524
-13.8422394120626,1407633.88600993
-13.2692816169317,1410177.7661228
